captain_id,signup_ts,city,vehicle_type,acquisition_channel,signup_zone_id,device_tier,app_language,age_band,days_observed,eligible_for_funnel,AADHAAR_cleared,DL_cleared,FITNESS_cleared,INSURANCE_cleared,PERMIT_cleared,RC_cleared,decision_ts,final_status,last_stage_reached,docs_cleared,first_order_ts,orders_d7,orders_d30,online_hours_d30,signup_to_approval_days,approval_to_first_order_days
CPT104359,2026-01-01 06:08:00,Pune,Auto,organic_app,PUN-Z23,low,kn,25-34,180.74443287037036,True,True,True,True,True,True,True,2026-01-06 08:11:48.775157583,approved,,6,2026-01-11 12:11:54.524199600,7.0,33.0,26.9,5.085981193953507,5.166733206504826
CPT120008,2026-01-01 06:52:00,Pune,Cab,referral,PUN-Z05,mid,mr,45+,180.71387731481482,True,False,True,False,False,False,True,,dropped_in_docs,AADHAAR,2,,,,,,
CPT102049,2026-01-01 07:02:00,Hyderabad,Cab,organic_app,HYD-Z01,high,te,35-44,180.70693287037037,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT123006,2026-01-01 07:15:00,Pune,Cab,organic_app,PUN-Z11,high,hi,25-34,180.6979050925926,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT102642,2026-01-01 07:27:00,Bangalore,ERickshaw,gc_telecalling,BAN-Z06,low,hi,18-24,180.68957175925925,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT105916,2026-01-01 07:32:00,Delhi,Cab,fos_field,DEL-Z20,high,hi,35-44,180.68609953703702,True,True,True,True,True,True,True,2026-01-07 09:40:02.632133424,approved,,6,2026-01-08 04:16:11.743250188,15.0,48.0,29.1,6.088919353396112,0.7751054527403242
CPT123016,2026-01-01 08:02:00,Hyderabad,Cab,organic_app,HYD-Z13,low,hi,35-44,180.6652662037037,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT103410,2026-01-01 08:20:00,Hyderabad,Auto,fos_field,HYD-Z20,mid,hi,45+,180.6527662037037,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT107181,2026-01-01 08:24:00,Hyderabad,Auto,organic_app,HYD-Z16,low,en,25-34,180.64998842592593,True,True,True,True,True,True,True,2026-01-08 21:10:39.912791885,rejected,background_check_failed,6,,,,,7.532406398054224,
CPT122385,2026-01-01 08:28:00,Hyderabad,Cab,paid_digital,HYD-Z17,low,en,25-34,180.64721064814816,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
